Name,Bank,Minimum Age,Maximum Age,Minimum Income (LPA),Minimum Credit Score,Joining fee,Annual fee,Issuer Link
Cashback SBI Card,SBI,21,70,5,750,999,999,https://www.sbicard.com/en/personal/credit-cards/rewards/cashback-sbi-card.page
BPCL SBI Card Octane,SBI,21,70,3.6,700,1499,1499,https://www.sbicard.com/en/personal/credit-cards/travel/bpcl-sbi-card-octane.page
SBI Card ELITE,SBI,21,70,10,750,4999,4999,https://www.sbicard.com/en/personal/credit-cards/lifestyle/sbi-card-elite.page
Yatra SBI Card,SBI,21,70,3,700,499,499,https://www.sbicard.com/en/personal/credit-cards/travel/yatra-sbi-card.page
IRCTC SBI Card Premier,SBI,21,70,4,700,1499,1499,https://www.sbicard.com/en/personal/credit-cards/travel/irctc-premier-card.page
SBI SimplyCLICK Credit Card,SBI,21,70,3,700,499,499,https://www.sbicard.com/en/personal/credit-cards/shopping/simplyclick-sbi-card.page
SBI SimplySAVE Credit Card,SBI,21,70,3,700,499,499,https://www.sbicard.com/en/personal/credit-cards/shopping/simplysave-sbi-card.page
SBI Card Miles Elite,SBI,21,70,8,750,4999,4999,https://www.sbicard.com/en/personal/credit-cards/travel/sbi-card-miles-elite.page
Titan SBI Credit Card,SBI,21,70,3,700,2999,2999,https://www.sbicard.com/en/personal/credit-cards/shopping/titan-sbi-card.page
HDFC Diners Club Privilege Credit Card,HDFC,21,65,8.4,750,1000,1000,https://www.hdfcbank.com/personal/pay/cards/credit-cards/diners-privilege
HDFC Regalia Credit Card,HDFC,21,65,12,750,2500,2500,https://cardinsider.com/hdfc-bank/hdfc-bank-regalia-credit-card/
HDFC MoneyBack+ Credit Card,HDFC,21,65,2.4,700,500,500,https://www.hdfcbank.com/personal/pay/cards/credit-cards/moneyback-plus
HDFC Millennia Credit Card,HDFC,21,40,6,700,1000,1000,https://www.hdfcbank.com/personal/pay/cards/millennia-cards/millennia-cc-new
HDFC Infinia Credit Card,HDFC,21,65,42,750,12500,12500,https://www.hdfcbank.com/personal/pay/cards/credit-cards/infinia-credit-card
HDFC Diners Club Black Credit Card,HDFC,21,65,21,750,10000,10000,https://www.hdfcbank.com/personal/pay/cards/credit-cards/diners-club-black
6E Rewards XL Indigo HDFC Credit Card,HDFC,21,65,6,700,500,500,https://www.hdfcbank.com/personal/pay/cards/credit-cards/6e-rewards-xl-indigo-hdfc-bank-credit-card
HDFC Intermiles Signature Credit Card,HDFC,21,65,9,750,2500,2500,https://www.hdfcbank.com/personal/pay/cards/credit-cards/intermiles-hdfc-bank-signature
IndianOil HDFC Credit Card,HDFC,21,65,2,700,500,500,https://www.hdfcbank.com/personal/pay/cards/credit-cards/indianoil-hdfc-bank-credit-card
HDFC Regalia Gold Credit Card,HDFC,21,65,12,750,2500,2500,https://www.hdfcbank.com/personal/pay/cards/credit-cards/regalia-gold-credit-card
IRCTC HDFC Bank Credit Card,HDFC,21,65,6,700,500,500,https://www.hdfcbank.com/personal/pay/cards/credit-cards/irctc-credit-card
Marriott Bonvoy HDFC Bank Credit Card,HDFC,21,60,12,750,3000,3000,https://www.hdfcbank.com/personal/pay/cards/credit-cards/marriott-bonvoy-credit-card
Swiggy HDFC Bank Credit Card,HDFC,21,60,1.8,750,500,500,https://www.hdfcbank.com/personal/pay/cards/credit-cards/swiggy-hdfc-bank-credit-card
Axis Bank Reserve Credit Card,Axis,18,70,48,750,50000,50000,https://www.axisbank.com/retail/cards/credit-card/reserve-credit-card/index
Axis Magnus Credit Card,Axis,18,70,18,750,12500,12500,https://www.axisbank.com/retail/cards/credit-card/axis-bank-magnus-card
Axis Atlas Credit Card,Axis,18,70,12,700,5000,5000,https://www.axisbank.com/retail/cards/credit-card/axis-bank-atlas-credit-card
Axis Bank Horizon Credit Card,Axis,18,70,6,700,3000,3000,https://www.axisbank.com/retail/cards/credit-card/axis-horizon-credit-card
Axis Bank SELECT Credit Card,Axis,18,70,9,700,3000,3000,https://www.axisbank.com/retail/cards/credit-card/axis-bank-select-credit-card
Flipkart Axis Bank Credit Card,Axis,18,70,1.8,700,500,500,https://www.axisbank.com/retail/cards/credit-card/flipkart-axisbank-credit-card
Axis My Zone Credit Card,Axis,18,70,6,700,500,500,https://www.axisbank.com/retail/cards/credit-card/my-zone-credit-card
IndianOil Axis Bank Credit Card,Axis,18,70,6,700,500,500,https://www.axisbank.com/retail/cards/credit-card/indianoil-axis-bank-credit-card
Axis Bank ACE Credit Card,Axis,18,70,6,700,499,499,https://www.axisbank.com/retail/cards/credit-card/axis-bank-ace-credit-card
Amazon Pay ICICI Credit Card,ICICI,18,60,3,750,0,0,https://www.icicibank.com/personal-banking/cards/credit-card/amazon-pay-credit-card/index
ICICI Bank Sapphiro Credit Card,ICICI,21,65,3,750,6500,3500,https://www.icicibank.com/personal-banking/cards/credit-card/sapphiro-credit-card/key-privileges
MakeMyTrip ICICI Bank Signature Credit Card,ICICI,21,65,3,750,999,999,https://www.icicibank.com/personal-banking/cards/credit-card/makemytrip/signature-card/key-privileges
ICICI Coral Credit Card,ICICI,18,70,1,750,500,500,https://www.icicibank.com/personal-banking/cards/credit-card/coral-credit-card/benefits
ICICI Emeralde Private Metal Credit Card,ICICI,21,65,36,700,12499,12499,https://www.icicibank.com/personal-banking/cards/credit-card/emeralde-private-metal-credit-card
ICICI HPCL Super Saver Credit Card,ICICI,21,65,3,750,500,500,https://www.icicibank.com/personal-banking/cards/credit-card/hpcl-super-saver
Adani One ICICI Bank Signature Credit Card,ICICI,21,65,3,750,5000,5000,https://www.icicibank.com/personal-banking/cards/credit-card/adani-icici-credit-card
YES Private Credit Card,YES,21,60,4.8,700,50000,10000,https://www.yesbank.in/personal-banking/yes-private-credit-card
YES Bank Marquee Credit Card,YES,21,60,3.5,700,9999,4999,https://www.yesbank.in/personal-banking/yes-individual/cards/credit-cards/marquee-credit-card
YES Bank RESERV Credit Card,YES,21,60,3.5,700,2000,2000,"https://www.yesbank.in/personal-banking/cards/credit-card/reserv-credit-card#:~:text=What%20comes%20with%20this%20card%3F%20What%27s%20more%3F%20How,the%20ultimate%20in%20convenience%20and%20luxury.%20Apply%20today%21"
YES Bank Paisabazaar PaisaSave Credit Card,YES,21,60,3.5,700,0,499,https://www.yesbank.in/personal-banking/yes-individual/cards/credit-cards/paisabazaar-credit-card
YES Bank Wellness Plus Credit Card,YES,21,60,5,700,499,499,https://www.yesbank.in/personal-banking/yes-individual/cards/credit-cards/wellness-plus-cards
YES Bank ELITE+ Credit Card,YES,21,60,3.5,700,999,999,https://www.yesbank.in/personal-banking/yes-individual/cards/credit-cards/elite-plus-credit-card
YES Bank SELECT Credit Card,YES,21,60,3.5,700,399,399,https://www.yesbank.in/personal-banking/yes-individual/cards/credit-cards/select-credit-card
YES Bank ACE Credit Card,YES,21,60,3,700,499,499,https://www.yesbank.in/personal-banking/yes-individual/cards/credit-cards/ace-credit-card
HSBC Taj Credit Card,HSBC,25,75,40,750,110000,110000,https://www.hsbc.co.in/credit-cards/products/taj/
HSBC TravelOne Credit Card,HSBC,18,65,4,750,4999,4999,https://www.hsbc.co.in/credit-cards/products/travelone/
HSBC Premier MasterCard Credit Card,HSBC,21,65,5,750,12000,20000,https://www.hsbc.co.in/credit-cards/products/premier/
HSBC Live+ Credit Card,HSBC,18,65,4,750,999,999,https://www.hsbc.co.in/credit-cards/products/live-plus/
HSBC Visa Platinum Credit Card,HSBC,18,65,4,750,0,0,https://www.hsbc.co.in/credit-cards/products/visa-platinum/
IDFC FIRST Power+ Credit Card,IDFC,21,65,3,750,499,499,https://www.idfcfirstbank.com/credit-card/hpcl-power-fuel-credit-card
IDFC FIRST Wealth Credit Card,IDFC,21,65,36,750,0,0,https://www.idfcfirstbank.com/credit-card/wealth
IDFC FIRST Select Credit Card,IDFC,21,65,12,750,0,0,https://www.idfcfirstbank.com/credit-card/select
IDFC FIRST Millennia Credit Card,IDFC,21,65,3,750,0,0,https://www.idfcfirstbank.com/credit-card/millennia
IDFC FIRST Mayura Credit Card,IDFC,21,65,25,750,5999,5999,https://www.idfcfirstbank.com/credit-card/metal-credit-card/mayura
IDFC FIRST Ashva Credit Card,IDFC,21,65,3,750,2999,2999,https://www.idfcfirstbank.com/credit-card/metal-credit-card/ashva
American Express Platinum Card,American Express,18,60,25,750,66000,66000,https://www.americanexpress.com/in/charge-cards/platinum-card/?linknav=in-pc-cc-type-premium-CreditCards-CardTypes-PremiumCards-PlatinumCard-LearnMore
American Express Platinum Travel Credit Card,American Express,18,60,6,750,5000,5000,https://www.americanexpress.com/in/credit-cards/platinum-travel-credit-card/?linknav=in-amex-cardshop-allcards-learn-AmericanExpressPlatinumTravel-carousel
American Express Membership Rewards Credit Card,American Express,18,60,6,750,1000,4500,https://www.americanexpress.com/in/credit-cards/membership-rewards-card/?linknav=in-amex-cardshop-allcards-learn-AmericanExpressMembershipRewards-carousel
American Express Platinum ReserveSM Credit Card,American Express,18,60,6,750,5000,10000,https://www.americanexpress.com/in/credit-cards/platinum-reserve-credit-card/?linknav=in-amex-cardshop-details-browse-AmericanExpressPlatinumReserve
American Express Gold Card,American Express,18,60,6,750,1000,4500,https://www.americanexpress.com/in/charge-cards/gold-card/?linknav=in-amex-cardshop-details-browse-AmericanExpressGold
American Express SmartEarn Credit Card,American Express,18,60,4.5,750,495,495,https://www.americanexpress.com/in/credit-cards/smart-earn-credit-card/?linknav=in-amex-cardshop-details-browse-SmartEarnCreditCard
American Express PAYBACK Credit Card,American Express,18,60,6,750,0,1500,https://www.americanexpress.com/in/credit-cards/payback-card/?linknav=in-amex-cardshop-details-browse-AmericanExpressPayback
IDFC FIRST EARN Credit Card,IDFC,18,65,2.5,0,0,0,https://www.idfcfirstbank.com/credit-card/secured-rupay-credit-card
IDFC FIRST WoW Credit Card,IDFC,18,65,2.5,0,0,0,https://www.idfcfirstbank.com/credit-card/wow
Magnet FD Backed Credit Card,SMB,18,65,2.5,0,0,0,"https://cardinsider.com/fintech-cards/magnet-fd-backed-credit-card/#:~:text=Offering%20lifetime%20free%20membership%2C%20the%20Magnet%20Credit%20Card,Bank%2C%20earning%20up%20to%207%25%20interest%20per%20annum."
OneCard Metal Credit Card,Federal Bank,18,65,4,700,0,0,https://apply.getonecard.app/onecardweb/signUp
AU Nomo Credit Card,AU Bank,18,75,2.5,0,199,199,https://www.aubank.in/personal-banking/credit-cards/nomo-credit-card%20
SBI Unnati Credit Card,SBI,18,65,3,0,0,0,https://www.sbicard.com/en/personal/credit-cards/shopping/sbi-card-unnati.page
IDBI Bank Imperium Platinum Credit Card,IDBI,18,65,2.5,0,499,499,https://www.idbibank.in/Imperium-credit-card.aspx
SBI Student Plus Advantage Credit Card,SBI,18,60,2.5,0,0,0,https://www.bankbazaar.com/credit-card/sbi-student-plus-advantage-credit-card.html
ICICI Instant Platinum Credit Card,ICICI,18,65,2.5,0,0,0,https://www.icicibank.com/personal-banking/cards/credit-card/platinum-credit-key-privileges
Kotak 811 #DreamDifferent Credit Card,Kotak Mahindra Bank,18,75,2.5,0,0,0,https://www.kotak.com/en/personal-banking/cards/credit-cards/811-dream-different-credit-card.html
HDFC Bank Diners Club Black Metal Edition Credit Card,HDFC,21,65,21,750,10000,10000,https://www.hdfcbank.com/personal/pay/cards/credit-cards/diners-club-black-metal-edition
Tata Neu Infinity HDFC Bank Credit Card,HDFC,21,65,12,750,1499,1499,https://www.hdfcbank.com/personal/pay/cards/credit-cards/tata-neu-infinity-hdfc-bank-credit-card
Times Black ICICI Bank Credit Card,ICICI,21,60,24,750,20000,20000,https://www.icicibank.com/personal-banking/cards/credit-card/times-black-icici-credit-card
HDFC Bank BizBlack Metal Edition Credit Card,HDFC,21,65,30,750,10000,10000,https://www.hdfcbank.com/personal/pay/cards/business-credit-cards/biz-black
HDFC Bank BizPower Credit Card,HDFC,21,65,12,750,2500,2500,https://www.hdfcbank.com/personal/pay/cards/business-credit-cards/biz-power
Emirates Skywards ICICI Bank Rubyx Credit Card,ICICI,21,65,9,700,1000,1000,https://www.icicibank.com/personal-banking/cards/credit-card/emirates-rubyx-credit-card
EazyDiner IndusInd Bank Credit Card,IndusInd,21,65,2.4,750,1999,1999,https://www.indusind.com/in/en/personal/cards/credit-card/eazydiner-credit-card.html?utm_source=Yahoo_Organic_Search
Axis Bank Vistara Infinite Credit Card,Axis,18,70,6,750,10000,10000,https://www.axisbank.com/retail/cards/credit-card/axis-bank-vistara-infinite-credit-card
Axis Bank Neo Credit Card,Axis,18,70,2.5,700,0,0,https://www.axisbank.com/retail/cards/credit-card/neo-credit-card
Axis Bank Burgundy Private Credit Card,Axis,18,70,120,750,50000,50000,https://www.axisbank.com/burgundyprivate/creditcard
Club Vistara IndusInd Bank Explorer Credit Card,IndusInd,21,70,7,750,40000,10000,https://www.indusind.com/in/en/personal/cards/credit-card/club-vistara-indusInd-bank-explorer-credit-card.html?utm_source=Yahoo_Organic_Search
ixigo AU Credit Card,AU Bank,21,60,3,700,0,0,https://www.ixigo.com/payments/cbcc
RBL World Safari Credit Card,RBL,21,70,3,750,3000,3000,https://www.rblbank.com/personal-banking/cards/credit-cards/world-safari-credit-card
Scapia Federal Credit Card,Federal Bank,21,70,5,700,0,0,https://www.federalbank.co.in/scapia
